"Species","equal.splits","fair.proportion"
"Phalcoboenus_megalopterus",4.86267593717133,4.86267593717133
"Polemaetus_bellicosus",17.690997927333,16.2845226915019
"Polyboroides_radiatus",47.246729540074,40.3640414221134
"Pulsatrix_perspicillata",25.799917930017,25.9109499670925
"Rostrhamus_sociabilis",18.7391862483925,18.3171986174525
"Spilornis_cheela",36.000467291757,31.9665672590833
"Spizaetus_isidori",18.1219080199041,18.6728333022006
"Spizaetus_tyrannus",18.1219080197674,18.6728333020639
"Stephanoaetus_coronatus",23.7490255098553,22.6151981375512
"Strix_aluco",12.7965369535006,15.7705847273658
"Strix_butleri",13.358312283621,16.3323600574862
"Strix_nebulosa",12.7947681265194,15.7688159003846
"Strix_occidentalis",15.168697167743,15.8438551083203
"Strix_rufipes",11.7740994934429,15.327856237246
