Order,Family,Order,Family,AcceptedGenus_COL,AcceptedName_COL,sp_id,X,Y,Year,Density_km
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Nanger,Nanger granti,M_330,32.7,0.3,1995,5.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102.9167,3.583333,1999,5.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,32.7,0.3,1995,5.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus caama,M_14,20.6,-18.8,1988,5.20E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,14.7,11.6,2004,5.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102.5,-0.23333,2006,5.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,90.3844,27.28273,2007,5.20E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-129,59.5,1979,5.20E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,13.6,-9.8,2002,5.30E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,37.2,14.2,1996,5.30E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,37.8,14.3,1997,5.30E-03
Carnivora,Canidae,Carnivora,Canidae,Lycaon,Lycaon pictus,M_281,20.5,-19.5,1993,5.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102,5.75,1998,5.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102.5833,5.583333,1998,5.30E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2006,5.30E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-123,60.4,2016,5.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,21.5439,-33.679,2011,5.34E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.4,22.86667,2018,5.40E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2008,5.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,M_517,32,2.6,1995,5.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,M_561,34.05,-7.02,1993,5.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,M_13,38.2,0.093,1995,5.50E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,78,30.13,2006,5.50E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,34.65,-7.53,1993,5.50E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Bos,Bos javanicus,M_687,117.6,5.2,2012,5.55E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Oryx,Oryx beisa,M_360,37.6,-2.9,2010,5.60E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,31.3,-6.92,1991,5.60E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,81.06667,22.7,2018,5.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,5.84E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,16.04,-26.62,2013,5.90E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-148.5,64,1977,5.90E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,34.3,-18.8,2004,6.00E-03
Carnivora,Canidae,Carnivora,Canidae,Lycaon,Lycaon pictus,M_281,35,-3,1976,6.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.08,10.2,2010,6.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,78.66667,20.96667,2018,6.00E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,75.2,35.6,2006,6.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,21.5439,-33.679,2011,6.08E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,10.4,2.3,2000,6.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,80.958,28.425,2008,6.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,84.825,27.4,2009,6.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,M_13,40,9,1995,6.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,128,43.896,2013,6.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,130.959,43.395,2013,6.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera onca,M_580,-52.75,-18.32,2008,6.20E-03
Carnivora,Felidae,Carnivora,Felidae,Lynx,Lynx lynx,M_671,7.5,46.3,2014,6.20E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-128.5,57.8,1979,6.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus kob,M_253,33.79,3.856,1995,6.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Oryx,Oryx beisa,M_360,38.5,4.5,1995,6.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,101.9833,-0.25833,2005,6.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102.2,14.2,2016,6.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,M_517,34.09,2.649,1995,6.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,34.09,2.649,1995,6.30E-03
Carnivora,Felidae,Carnivora,Felidae,Leptailurus,Leptailurus serval,M_637,23.74,-17.91,2014,6.30E-03
Carnivora,Ursidae,Carnivora,Ursidae,Ursus,Ursus arctos,M_574,-122.5,50.5,2011,6.32E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Aepyceros,Aepyceros melampus,M_11,27.1,-19.6,1995,6.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,29.49,4.159,1995,6.40E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2003,6.40E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,84.8413,27.3414,2013,6.50E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2002,6.50E-03
