MSW3_ID,Scientific,MSWFamilyLatin,SciName,Family,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Source,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,ForStrat-Comment,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Source,Activity-Certainty,BodyMassValue,BodyMass-Source,BodyMass-SpecLevel,,
2221,Aethomys,kaiseri,Aethomys kaiseri,Muridae,0,0,0,0,0,0,20,0,20,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,90,Ref_117,1,,
2220,Aethomys,nyikae,Aethomys nyikae,Muridae,0,0,0,0,0,0,20,0,20,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,77.01,Ref_117,1,,
2218,Aethomys,silindensis,Aethomys silindensis,Muridae,0,0,0,0,0,0,20,0,20,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,82.76,Ref_178,2,,
2219,Aethomys,stannarius,Aethomys stannarius,Muridae,0,0,0,0,0,0,20,0,20,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,82.9,Ref_178,2,,
2226,Aethomys,thomasi,Aethomys thomasi,Muridae,0,0,0,0,0,0,20,0,20,60,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,84.69,Ref_178,2,,
5026,Ailuropoda,melanoleuca,Ailuropoda melanoleuca,Ursidae,0,10,0,0,0,0,0,0,0,90,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,108400,Ref_117,1,,
203,Ailurops,melanotis,Ailurops melanotis,Phalangeridae,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,Ar,A,0,0,1,Ref_2,D1,10000,"Ref_2, Ref_3",0,,
204,Ailurops,ursinus,Ailurops ursinus,Phalangeridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,0,0,1,Ref_1,ABC,10000,Ref_117,1,,
5077,Ailurus,fulgens,Ailurus fulgens,Ailuridae,10,10,0,0,0,0,10,0,10,60,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,4900,Ref_117,1,,
1670,Akodon,aerosus,Akodon aerosus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,60,Ref_117,1,,
1706,Akodon,affinis,Akodon affinis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,24.9,Ref_117,1,,
1692,Akodon,albiventer,Akodon albiventer,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,21.8,Ref_117,1,,
1691,Akodon,aliquantulus,Akodon aliquantulus,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1690,Akodon,azarae,Akodon azarae,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,25,Ref_117,1,,
1671,Akodon,bogotensis,Akodon bogotensis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,13,Ref_117,1,,
1689,Akodon,boliviensis,Akodon boliviensis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,27.5,Ref_117,1,,
1707,Akodon,budini,Akodon budini,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,26.9,Ref_117,1,,
1687,Akodon,cursor,Akodon cursor,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39.85,Ref_117,1,,
1686,Akodon,dayi,Akodon dayi,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,32.5,Ref_117,1,,
1685,Akodon,dolores,Akodon dolores,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,50.5,Ref_117,1,,
1684,Akodon,fumeus,Akodon fumeus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,22.7,Ref_117,1,,
